                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5246,                 2.8632,                 1.3693,                0.92066,                0.29185,                0.66836,                0.38535,                  1.168,                 3.2843,                 1.1004,             0.00031438,             0.00031438,             0.00031438
                      2,                 1.4001,                 1.5775,                 1.2501,                      1,                0.16448,                0.61491,                0.37561,                 1.3181,                 3.2519,                 1.2546,             0.00064093,             0.00064093,             0.00064093
                      3,                 1.3463,                 1.4507,                 1.2452,                0.78141,                0.33703,                 0.5689,                0.28772,                 1.5898,                 3.0408,                  1.614,             0.00096531,             0.00096531,             0.00096531
                      4,                 1.3674,                 1.3586,                 1.2724,                0.64408,                0.60484,                0.62238,                0.32987,                 1.7873,                 3.1225,                 1.9018,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.4059,                  1.429,                 1.3599,                0.68836,                0.72396,                0.72725,                0.38369,                 1.5277,                  2.015,                 1.4996,              0.0014101,              0.0014101,              0.0014101
                      6,                 1.3424,                 1.3572,                 1.2978,                0.72408,                 0.7426,                0.83863,                0.45978,                 1.4477,                 2.3154,                 1.4078,              0.0014054,              0.0014054,              0.0014054
                      7,                 1.3291,                 1.2635,                 1.2717,                0.83149,                0.86751,                0.90505,                0.49979,                  1.443,                 1.4894,                 1.3907,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.2641,                 1.1845,                 1.2255,                0.70675,                0.73575,                0.75326,                0.41509,                 1.5465,                 1.8646,                 1.5436,               0.001396,               0.001396,               0.001396
                      9,                 1.3598,                 1.1804,                 1.3168,                0.74119,                0.67052,                0.76886,                0.40364,                 1.5649,                 1.6882,                 1.4863,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.3557,                 1.1433,                 1.2755,                0.86866,                0.88011,                0.94379,                0.57265,                 1.3939,                 1.2061,                 1.3436,              0.0013866,              0.0013866,              0.0013866
                     11,                 1.2339,                 1.2675,                 1.1951,                0.81972,                0.87648,                 0.9003,                0.54071,                 1.3196,                  1.148,                 1.2766,              0.0013818,              0.0013818,              0.0013818
                     12,                 1.2277,                 1.3273,                  1.208,                0.76638,                0.80361,                0.83609,                0.48946,                 1.3824,                 1.2794,                 1.2834,              0.0013771,              0.0013771,              0.0013771
                     13,                 1.3262,                 1.0135,                 1.2456,                0.82909,                0.84777,                0.93138,                0.52914,                 1.4072,                 1.4225,                 1.3346,              0.0013724,              0.0013724,              0.0013724
                     14,                 1.2923,                  1.006,                 1.2425,                0.86283,                0.80405,                0.90704,                 0.5334,                 1.3506,                 1.5167,                 1.2645,              0.0013677,              0.0013677,              0.0013677
                     15,                 1.2529,                 1.0066,                 1.2503,                0.77008,                0.61349,                0.74557,                 0.3984,                 1.5572,                  1.821,                 1.3938,               0.001363,               0.001363,               0.001363
                     16,                 1.2811,                0.94717,                 1.2141,                0.87615,                0.81411,                 0.8897,                 0.5215,                 1.3948,                 1.1431,                 1.3396,              0.0013583,              0.0013583,              0.0013583
                     17,                 1.2378,                 1.0367,                 1.2342,                0.87886,                0.91903,                0.93773,                0.56198,                 1.3251,                0.93768,                 1.2741,              0.0013535,              0.0013535,              0.0013535
                     18,                 1.2762,                0.93078,                  1.265,                 0.9119,                0.90662,                0.94994,                0.57069,                 1.3037,                0.99973,                 1.2805,              0.0013488,              0.0013488,              0.0013488
                     19,                 1.2758,                0.88784,                 1.2121,                0.88057,                0.91262,                0.95407,                0.59006,                 1.2609,                0.92757,                 1.2332,              0.0013441,              0.0013441,              0.0013441
                     20,                 1.2685,                0.90501,                 1.2506,                0.80556,                0.88181,                0.92182,                0.55236,                  1.325,                0.83414,                 1.2527,              0.0013394,              0.0013394,              0.0013394
                     21,                 1.3038,                0.90993,                 1.2414,                 0.8954,                0.87956,                 0.9294,                0.56653,                  1.316,                0.83777,                 1.2668,              0.0013347,              0.0013347,              0.0013347
                     22,                 1.2164,                0.96016,                  1.191,                 0.8878,                0.94948,                0.95854,                0.60536,                 1.2647,                 0.8076,                 1.2927,                0.00133,                0.00133,                0.00133
                     23,                 1.3131,                0.85962,                 1.2717,                0.92181,                0.89769,                0.95124,                0.58518,                 1.3127,                0.76182,                 1.2533,              0.0013253,              0.0013253,              0.0013253
                     24,                 1.2389,                0.85889,                 1.2096,                0.93811,                0.90596,                0.95928,                0.59335,                 1.2644,                0.78737,                 1.2375,              0.0013205,              0.0013205,              0.0013205
                     25,                 1.2038,                0.80524,                 1.2243,                0.92865,                0.92843,                0.96461,                0.60202,                  1.261,                0.72331,                 1.2217,              0.0013158,              0.0013158,              0.0013158
                     26,                 1.2377,                0.80551,                 1.2028,                0.95838,                0.90199,                0.95695,                0.60816,                 1.2688,                0.73001,                 1.2309,              0.0013111,              0.0013111,              0.0013111
                     27,                 1.1791,                0.76779,                  1.199,                0.93977,                0.93308,                0.95342,                0.59626,                 1.2693,                 0.7344,                 1.2442,              0.0013064,              0.0013064,              0.0013064
                     28,                 1.1918,                0.78617,                 1.2109,                0.95429,                0.89892,                0.95852,                0.59114,                  1.274,                0.70869,                 1.2473,              0.0013017,              0.0013017,              0.0013017
                     29,                 1.1955,                0.79032,                 1.1758,                0.90309,                0.89587,                0.96271,                0.59432,                 1.2904,                0.79822,                  1.283,               0.001297,               0.001297,               0.001297
                     30,                 1.1956,                0.76302,                 1.1929,                0.89577,                0.90616,                0.93898,                0.59212,                 1.2336,                0.74683,                 1.2355,              0.0012922,              0.0012922,              0.0012922
                     31,                 1.1871,                0.78371,                 1.1981,                0.87409,                0.90541,                0.93118,                0.58682,                 1.2363,                0.85724,                  1.202,              0.0012875,              0.0012875,              0.0012875
                     32,                 1.1537,                0.72329,                 1.1736,                0.92266,                 0.8854,                0.92368,                0.58319,                  1.287,                  0.683,                 1.2267,              0.0012828,              0.0012828,              0.0012828
